step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
1050.0,71,18772.0,218.27906976744185,1.8067730704073928,71,23958.0,0.06612419337057825,71,23958.0
1055.0,74,19134.0,214.98876404494382,2.0283760585977966,74,24310.0,0.0682270737700432,74,24310.0
1060.0,70,19448.0,223.54022988505747,1.6508989459688408,70,24642.0,0.06102319602862485,70,24642.0
1065.0,69,19787.0,227.4367816091954,2.27228050586336,69,24949.0,0.08925866597497725,69,24949.0
1070.0,70,20134.0,228.79545454545453,2.5376223519263466,70,25280.0,0.05837688088355373,70,25280.0
1075.0,69,20461.0,235.183908045977,2.088316142678487,69,25602.0,0.07657415960120265,69,25602.0
1080.0,71,20816.0,253.85365853658536,1.6292865852149834,71,25942.0,0.0698476491978353,71,25942.0
1085.0,73,21174.0,240.61363636363637,1.5736283251736496,73,26290.0,0.0665831419521531,73,26290.0
1090.0,71,21492.0,252.8470588235294,1.364186415546532,71,26617.0,0.0732622282583436,71,26617.0
1095.0,72,21841.0,242.67777777777778,2.212630681919178,72,26919.0,0.08182570887240379,72,26919.0
1100.0,72,22201.0,252.2840909090909,2.36440675918711,72,27259.0,0.07174495955414731,72,27259.0
1105.0,72,22561.0,250.67777777777778,2.268874354955098,72,27599.0,0.08892517249533631,72,27599.0
1110.0,70,22888.0,269.2705882352941,1.9326482357422974,70,27912.0,0.079445720437475,70,27912.0
1115.0,71,23239.0,264.07954545454544,2.0717835831843456,71,28237.0,0.0749914383031458,71,28237.0
1120.0,74,23605.0,274.4767441860465,1.7144939427765729,74,28583.0,0.06590480266698297,74,28583.0
1125.0,70,23938.0,275.14942528735634,1.538536491592694,70,28912.0,0.07496813204818568,70,28912.0
1130.0,70,24288.0,282.4186046511628,2.0088484205161095,70,29226.0,0.09002436368769,70,29226.0
1135.0,72,24646.0,273.84444444444443,2.6596169600692656,72,29564.0,0.09484187012108207,72,29564.0
1140.0,67,23959.0,281.8705882352941,1.9106002884156148,67,28995.0,0.07152789849362473,67,28995.0
1145.0,59,22577.0,259.5057471264368,2.4989856018366514,59,27495.0,0.11402967401799449,59,27495.0
1150.0,54,21363.0,251.3294117647059,3.155590282004004,54,25096.0,0.1194941870685071,54,25096.0
1155.0,46,20420.0,229.43820224719101,3.118933351147568,46,25306.0,0.1543279672157783,46,25306.0
1160.0,46,19657.0,236.83132530120483,3.067837560760354,46,25486.0,0.16111519471940156,46,25486.0
1165.0,53,19910.0,218.7912087912088,3.2129089565120164,53,25708.0,0.13538442444541937,53,25708.0
1170.0,63,20204.0,222.02197802197801,2.3963026162803067,63,25972.0,0.08777088452744974,63,25972.0
1175.0,70,20541.0,220.8709677419355,1.7346213648017694,70,26279.0,0.07972699388234585,70,26279.0
1180.0,80,20922.0,227.41304347826087,1.4416582582210766,80,26630.0,0.06570799365716148,80,26630.0
1185.0,82,21327.0,222.15625,1.7030000078230305,82,27006.0,0.06640083902160618,82,27006.0
1190.0,79,21459.0,225.8842105263158,1.4982737483570863,79,27271.0,0.07214120768910424,79,27271.0
1195.0,74,21745.0,226.51041666666666,2.029912666264458,74,27431.0,0.07420684941240226,74,27431.0
1200.0,78,22124.0,230.45833333333334,2.1654717044372975,78,27713.0,0.060859573844410486,78,27713.0
1205.0,78,22514.0,229.73469387755102,2.0476764770655183,78,28073.0,0.056637168443138715,78,28073.0
1210.0,76,22824.0,242.80851063829786,1.7538328467089852,76,28396.0,0.07010698208670872,76,28396.0
1215.0,74,23175.0,249.19354838709677,1.8892994601726643,74,28687.0,0.07453989163955275,74,28687.0
1220.0,74,23545.0,253.1720430107527,2.584143228546529,74,29014.0,0.08212297186871889,74,29014.0
1225.0,69,23500.0,252.68817204301075,2.1247015597477237,69,28586.0,0.07848989333991255,69,28586.0
1230.0,67,23199.0,254.93406593406593,2.1642173132990554,67,27390.0,0.095464903037876,67,27390.0
1235.0,60,23012.0,255.6888888888889,2.7742178701318587,60,25440.0,0.09235964213007353,60,25440.0
1240.0,51,22599.0,248.34065934065933,2.805345005356454,51,25645.0,0.14026668852709795,51,25645.0
1245.0,48,22592.0,262.69767441860466,2.872416418432538,48,25803.0,0.13854744085077966,48,25803.0
1250.0,58,22858.0,243.17021276595744,3.4075142772335028,58,26024.0,0.13915080869022245,58,26024.0
1255.0,64,23160.0,249.03225806451613,2.3895060142114097,64,26286.0,0.08721053679934004,64,26286.0
1260.0,71,23500.0,250.0,1.8082660039250003,71,26586.0,0.049109865477562444,71,26586.0
1265.0,79,23880.0,254.04255319148936,1.4654370497755327,79,26926.0,0.06355556178668223,79,26926.0
1270.0,84,24292.0,258.4255319148936,1.200999102119599,84,27298.0,0.04118951389749708,84,27298.0
1275.0,86,24721.0,257.5104166666667,1.464653091608542,86,27687.0,0.06045762967065261,86,27687.0
1280.0,86,25151.0,261.9895833333333,1.2399053722315505,86,28077.0,0.05062106860104951,86,28077.0
1285.0,82,25227.0,257.4183673469388,1.5592298551831323,82,28323.0,0.0665058738238488,82,28323.0
1290.0,74,25441.0,259.6020408163265,1.8673658239148276,74,28455.0,0.08975343535121835,74,28455.0
1295.0,78,25826.0,263.53061224489795,2.2275314421557684,78,28658.0,0.07314318394160106,78,28658.0
1300.0,74,18936.0,185.64705882352942,1.97343238528754,74,26989.0,0.0665162393941693,74,26989.0
1305.0,72,10003.0,102.07142857142857,2.2574256051540367,72,23347.0,0.08523819976912764,72,23347.0
1310.0,65,5425.0,54.25,2.7302084816201515,65,17843.0,0.10531668075338034,65,17843.0
1315.0,57,2798.0,28.84536082474227,2.5934940297088938,57,18109.0,0.12386977416650125,57,18109.0
1320.0,51,2639.0,27.489583333333332,2.9158194266959754,51,18280.0,0.13272426449322522,51,18280.0
1325.0,60,2922.0,31.085106382978722,3.146491200368147,60,18526.0,0.12280784728592001,60,18526.0
1330.0,66,3239.0,34.82795698924731,2.6329857015864744,66,18842.0,0.08029242162543447,66,18842.0
1335.0,74,3597.0,39.96666666666667,2.2502514629729427,74,19201.0,0.0685580562694651,74,19201.0
1340.0,74,3967.0,45.59770114942529,1.6518155304262623,74,19571.0,0.08329818370875985,74,19571.0
1345.0,76,4343.0,49.35227272727273,1.6912662759676393,76,19947.0,0.06536801147603735,76,19947.0
1350.0,70,4067.0,45.18888888888889,2.021579037766573,70,19362.0,0.10450903091155131,70,19362.0
1355.0,62,3452.0,40.13953488372093,1.7598279024645167,62,18344.0,0.0705537424713883,62,18344.0
1360.0,58,2836.0,31.164835164835164,3.008520367150738,58,16664.0,0.11260194345787392,58,16664.0
